,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
10,Data Scientist,DENTSU AEGIS NETWORK HUB2050,Central,Executive,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-dentsu-aegis-network-hub2050-558ef521adf106695584d1c1592cdeff,Engineering ...
11,Research Scientist (Senior Data Scientist - NLP / Chatbot),AGODA COMPANY PTE. LTD.,Islandwide,Professional,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/research-scientist-agoda-company-8e059e2963f6510a5f1d58ee57dd1236,Information Technology
12,Data Scientist,NTUC ENTERPRISE CO-OPERATIVE LTD,NA,Executive,NA,"$3,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-ntuc-enterprise-co-operative-92cbf28222ce2531c00bde40613a16ad,Information Technology
13,Junior Data Scientist,CARTRACK TECHNOLOGIES SOUTH EAST ASIA PTE. LTD.,East,Executive,NA,"$6,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/junior-data-scientist-cartrack-technologies-south-east-asia-af98eace345595bcae36ba551959a00a,Information Technology
14,Data Scientist Analyst,AIA SINGAPORE PRIVATE LIMITED,Central,Professional,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-analyst-aia-singapore-be1f3fd889b602dc6d4ebb761baddb6a,Banking and Finance ...
15,Senior Data Scientist,DP INFORMATION NETWORK PTE. LTD.,Islandwide,Professional,NA,"$13,000to$16,000",Monthly,https://www.mycareersfuture.sg/job/senior-data-scientist-dp-information-network-5e9fc621d0467e4c47e5dce849daa1f1,Information Technology
16,DATA Scientist,CONNECTEDLIFE PTE. LTD.,South,Manager,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-connectedlife-76656d5b0d6e7cbfad29d4a023ea12c0,Engineering ...
17,Data Scientist (Human Capital),GOVERNMENT TECHNOLOGY AGENCY,NA,Senior Management,NA,"$10,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-government-technology-agency-39c9a4e7396694e5b905143815549235,Information Technology ...
18,Data Scientist,APPLE SOUTH ASIA PTE. LTD.,South,Executive,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-apple-south-asia-4b1683a8d3a9d8f9744377e6c674550f,Logistics / Supply Chain
19,Data Scientist,TAIGER SINGAPORE PTE. LTD.,NA,Executive,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/data-scientist-taiger-singapore-d8d3fbdd77145e14ab71e21f2a811170,Information Technology
20,Senior Consultant (Data Scientist),HITACHI CONSULTING SINGAPORE PTE. LTD.,East,Senior Executive,NA,"$6,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/senior-consultant-hitachi-consulting-singapore-5193ca946c3bef56dd1154b4bac5bb7e,Information Technology
21,"Data Scientist, Trusted AI",DATAROBOT SINGAPORE PTE. LTD.,Central,Professional,NA,"$90,000to$150,000",Annually,https://www.mycareersfuture.sg/job/data-scientist-trusted-ai-datarobot-singapore-67508a47a407453fb87955db2b36cb8c,Information Technology
22,Data Scientist,SEPHORA DIGITAL SEA PTE. LTD.,Central,Executive,NA,"$4,000to$6,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-sephora-digital-sea-0c4d95faf8ac62263e8da213c70fc868,Information Technology
